Emotion,Time Step
angry,15.88
angry,15.92
angry,15.96
angry,16.0
angry,16.04
angry,16.08
sad,16.12
neutral,16.16
neutral,16.2
angry,16.24
angry,16.28
happy,16.32
happy,16.36
happy,16.4
angry,17.84
sad,17.88
angry,17.96
angry,18.0
sad,18.08
happy,18.24
sad,18.28
neutral,18.32
neutral,18.36
happy,18.4
neutral,18.44
happy,18.48
happy,18.52
happy,18.56
happy,18.6
happy,18.64
happy,18.68
happy,18.72
neutral,18.76
fear,18.8
fear,18.84
surprise,18.84
neutral,18.88
neutral,18.92
surprise,18.96
neutral,19.0
angry,19.0
surprise,19.04
sad,19.04
neutral,19.08
surprise,19.12
happy,19.16
sad,19.2
surprise,19.24
surprise,19.28
angry,19.32
angry,19.36
surprise,19.4
surprise,19.44
surprise,19.48
happy,19.52
angry,19.56
fear,19.6
angry,19.64
angry,19.68
happy,19.72
surprise,19.76
surprise,19.8
angry,19.84
happy,19.88
happy,19.92
surprise,19.96
surprise,20.0
neutral,20.04
angry,20.08
surprise,20.12
surprise,20.16
surprise,20.2
surprise,20.24
neutral,20.28
surprise,20.32
surprise,20.36
neutral,20.4
surprise,20.44
surprise,20.48
sad,20.48
surprise,20.52
surprise,20.56
angry,20.6
angry,20.64
surprise,20.68
surprise,20.72
surprise,20.76
surprise,20.8
surprise,20.84
surprise,20.88
surprise,20.92
angry,20.96
angry,21.0
surprise,21.04
sad,21.08
sad,21.12
angry,21.16
angry,21.2
neutral,21.24
surprise,21.28
angry,21.32
angry,21.36
angry,21.4
surprise,21.44
sad,21.48
sad,21.52
neutral,21.56
sad,21.6
neutral,21.64
neutral,21.68
neutral,21.72
neutral,21.76
neutral,21.8
neutral,21.84
neutral,21.88
sad,21.92
neutral,21.96
sad,22.0
neutral,22.04
sad,22.08
sad,22.12
sad,22.16
sad,22.2
sad,22.24
sad,22.28
surprise,22.32
angry,22.36
surprise,22.4
angry,22.44
angry,22.48
sad,22.52
angry,22.56
sad,22.6
angry,22.64
fear,22.68
angry,22.72
angry,22.76
sad,22.8
sad,22.84
sad,22.88
sad,22.92
sad,22.96
angry,23.04
fear,23.08
sad,23.12
neutral,23.16
sad,23.2
sad,23.24
sad,23.28
angry,23.32
angry,23.36
angry,23.4
sad,23.48
sad,23.68
sad,23.72
sad,23.76
angry,23.8
angry,23.84
sad,23.88
angry,23.92
sad,23.96
surprise,23.96
sad,24.0
sad,24.0
sad,24.04
fear,24.04
sad,24.08
sad,24.08
sad,24.12
sad,24.16
sad,24.16
sad,24.2
fear,24.24
fear,24.28
fear,24.32
sad,24.36
fear,24.4
fear,24.44
sad,24.48
fear,24.52
fear,24.56
surprise,24.56
angry,24.6
surprise,24.64
surprise,24.68
surprise,24.72
surprise,24.76
surprise,24.8
surprise,24.84
surprise,24.88
surprise,24.92
fear,24.96
sad,25.0
sad,25.04
fear,25.08
fear,25.12
fear,25.16
fear,25.2
fear,25.24
fear,25.28
fear,25.32
sad,25.36
fear,25.4
fear,25.44
sad,25.48
fear,25.52
fear,25.56
fear,25.6
sad,25.64
fear,25.68
sad,25.68
sad,25.72
fear,25.76
fear,25.8
sad,25.84
fear,25.84
sad,25.88
fear,25.88
sad,25.92
sad,25.96
fear,26.0
fear,26.04
fear,26.08
fear,26.12
fear,26.16
fear,26.2
fear,26.2
fear,26.24
fear,26.28
fear,26.32
fear,26.36
fear,26.4
fear,26.44
fear,26.48
fear,26.52
fear,26.56
fear,26.6
sad,26.64
fear,26.68
fear,26.72
fear,26.76
fear,26.8
fear,26.84
fear,26.88
fear,26.92
sad,26.96
angry,27.0
angry,27.04
angry,27.08
fear,27.12
fear,27.16
fear,27.2
sad,27.24
sad,27.28
fear,27.32
sad,27.32
fear,27.36
sad,27.4
sad,27.44
