Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,Audio_Cheat,Emotion
44914078.8444,0,0,0,neutral
44915112.1777,0,0,1,neutral
44916145.511,0,0,0,neutral
44917078.8444,0,0,0,neutral
44918112.1777,0,0,0,neutral
44919045.511,0,0,0,neutral
44920078.8444,0,0,0,neutral
44921112.1777,0,0,0,neutral
44922145.511,0,0,0,neutral
44923078.8444,0,0,0,neutral
44924112.1777,0,0,0,neutral
44925045.511,0,0,1,neutral
44926078.8444,0,0,0,neutral
44927112.1777,0,0,0,neutral
44928145.511,0,0,0,neutral
44929078.8444,0,0,0,neutral
44930112.1777,0,0,0,neutral
44931145.511,0,0,1,neutral
44932078.8444,0,0,0,neutral
44933112.1777,0,0,0,neutral
44934045.511,0,0,0,neutral
44935078.8444,0,0,0,neutral
44936112.1777,0,0,1,neutral
44937145.511,0,0,1,neutral
44938078.8444,0,0,1,neutral
44939112.1777,0,0,1,neutral
44940145.511,0,0,0,neutral
44941078.8444,0,0,0,neutral
44942112.1777,0,0,0,neutral
44943145.511,0,0,1,neutral
44944078.8444,0,0,1,neutral
44945112.1777,0,0,0,neutral
44946045.511,0,0,1,neutral
44947078.8444,0,0,1,neutral
44948112.1777,0,0,0,neutral
44949145.511,0,0,1,neutral
44950078.8444,0,0,1,neutral
44951112.1777,0,0,0,neutral
44952045.511,0,0,0,neutral
44953078.8444,0,0,1,neutral
44954112.1777,0,0,1,neutral
44955145.511,0,0,0,neutral
44956078.8444,0,0,0,neutral
44957112.1777,0,0,0,neutral
44958045.511,0,0,0,neutral
44959078.8444,0,0,0,neutral
44960112.1777,0,0,0,neutral
44961145.511,0,0,1,neutral
44962078.8444,0,0,1,fear
44963112.1777,0,0,0,fear
44964045.511,0,0,1,fear
44965078.8444,0,0,1,fear
44966112.1777,0,0,1,sad
44967145.511,0,0,1,happy
44968078.8444,0,0,1,neutral
44969112.1777,0,0,1,neutral
44970045.511,0,0,1,neutral
44971078.8444,0,0,1,neutral
44972112.1777,0,0,0,neutral
44973045.511,0,0,0,neutral
44974078.8444,0,0,0,neutral
44975112.1777,0,0,1,neutral
44976145.511,0,0,1,angry
44977078.8444,0,0,0,neutral
44978112.1777,0,0,1,neutral
44979045.511,1,0,0,angry
44980078.8444,1,0,1,neutral
44981112.1777,0,0,0,sad
44982145.511,1,1,0,angry
44983078.8444,0,1,0,angry
44984112.1777,0,0,1,angry
44985045.511,1,0,0,angry
44986078.8444,1,0,0,neutral
44987112.1777,1,0,0,neutral
44988145.511,1,0,0,angry
44989078.8444,1,0,1,neutral
44990112.1777,1,0,0,angry
44991145.511,0,0,0,neutral
44992078.8444,0,0,0,neutral
44993112.1777,0,0,1,happy
44994045.511,0,0,0,happy
44995078.8444,0,0,1,sad
44996112.1777,0,0,0,sad
44997145.511,0,0,0,neutral
44998078.8444,0,0,0,neutral
44999112.1777,1,0,0,angry
45000045.511,1,0,1,angry
45001078.8444,1,0,0,sad
45002112.1777,1,0,1,sad
45003145.511,1,1,1,sad
45004078.8444,1,1,1,sad
45005112.1777,0,0,1,sad
45006045.511,1,1,0,sad
45007078.8444,0,0,1,sad
45008112.1777,0,0,0,sad
45009145.511,0,0,1,sad
45010078.8444,1,0,1,sad
45011112.1777,0,0,0,angry
45012045.511,0,0,1,neutral
45013078.8444,0,0,1,neutral
45015145.511,0,0,0,neutral
45016078.8444,0,0,0,angry
45017112.1777,0,0,0,sad
45018045.511,0,1,0,sad
45019078.8444,0,0,1,sad
45020112.1777,0,1,1,sad
45021045.511,0,1,1,sad
45022078.8444,0,1,1,sad
45023112.1777,0,0,1,sad
45024045.511,0,0,0,neutral
45025078.8444,0,0,0,neutral
45026112.1777,0,0,0,sad
45027145.511,0,0,0,angry
45028078.8444,0,0,1,angry
45029112.1777,0,1,1,sad
45030045.511,0,0,0,angry
45031078.8444,0,1,0,sad
45032112.1777,0,0,0,angry
45033045.511,0,0,1,neutral
45034078.8444,0,0,1,angry
45035112.1777,0,0,1,angry
45036145.511,0,0,1,angry
45037078.8444,0,1,1,angry
45038112.1777,0,1,1,sad
45039145.511,0,0,1,happy
45040078.8444,0,0,0,angry
45041112.1777,0,0,0,angry
45042145.511,0,0,0,sad
45043078.8444,0,0,1,neutral
45044112.1777,0,0,0,neutral
45045045.511,0,0,1,sad
45046078.8444,0,0,0,sad
45047112.1777,0,1,0,sad
45048145.511,0,0,0,sad
45049078.8444,0,0,0,angry
45050112.1777,0,0,0,sad
45051145.511,0,0,0,angry
45052078.8444,0,0,0,angry
45053112.1777,0,0,0,angry
45054045.511,0,0,1,sad
45055078.8444,0,0,0,angry
45056112.1777,0,0,0,happy
45057145.511,0,0,0,sad
45058078.8444,0,1,0,sad
45060045.511,0,0,0,sad
45061078.8444,0,0,0,neutral
45062112.1777,0,0,1,neutral
45063145.511,0,0,0,neutral
45064078.8444,0,0,0,angry
45067078.8444,0,0,0,angry
45068112.1777,0,0,0,neutral
