Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,audio,Emotion,y_actual
9360,0,0,0,neutral,
9400,0,0,0,neutral,
9440,0,0,0,neutral,
9480,0,0,0,neutral,
9520,0,0,0,neutral,
9560,0,0,0,sad,
9600,0,0,0,sad,
9640,0,0,0,neutral,
9680,0,0,0,neutral,
9720,0,0,0,neutral,
9760,0,0,0,neutral,
9800,0,0,0,neutral,
9840,0,0,0,neutral,
9880,0,0,0,neutral,
9920,0,0,0,neutral,
9960,0,0,0,neutral,
10000,0,0,0,neutral,
10040,0,0,0,neutral,
10080,0,0,0,neutral,
10120,0,0,0,neutral,
10160,0,0,0,neutral,
10200,0,0,0,neutral,
10240,0,0,0,happy,
10280,0,0,0,sad,
10320,0,0,0,happy,
10360,0,0,0,neutral,
10400,0,0,0,sad,
10440,0,0,0,sad,
10480,0,0,0,sad,
10520,0,0,0,sad,
10560,0,0,0,sad,
10600,0,0,0,sad,
10640,0,0,0,happy,
10680,0,0,0,sad,
10720,0,0,0,neutral,
10760,0,0,0,sad,
10800,0,0,0,happy,
10840,0,0,0,neutral,
10880,0,0,0,surprise,
10920,0,0,0,neutral,
10960,0,0,0,surprise,
11000,0,0,0,neutral,
11040,0,0,0,surprise,
11080,0,0,0,neutral,
11120,0,0,0,neutral,
11160,0,0,0,neutral,
11200,0,0,0,neutral,
11240,0,0,0,surprise,
11280,0,0,0,neutral,
11320,0,0,0,neutral,
11360,0,0,0,neutral,
11400,0,0,0,neutral,
11440,0,0,0,neutral,
11480,0,0,1,neutral,
11520,0,0,1,neutral,
11560,0,0,1,surprise,
11600,0,0,0,neutral,
11640,0,0,0,neutral,
11680,0,0,0,surprise,
11720,0,0,0,neutral,
11760,0,0,0,neutral,
11800,0,0,0,neutral,
11840,0,0,0,happy,
11880,0,0,0,sad,
11920,0,0,1,neutral,
11960,0,0,0,neutral,
12000,0,0,0,neutral,
12040,0,0,0,neutral,
12080,0,0,0,neutral,
12120,0,0,1,neutral,
12160,0,0,1,neutral,
12200,0,0,0,neutral,
12240,0,0,0,neutral,
12280,0,0,0,surprise,
12320,0,0,0,surprise,
12360,0,0,0,surprise,
12400,0,0,0,surprise,
12440,0,0,0,surprise,
12480,0,0,0,surprise,
12520,0,0,0,surprise,
12560,0,0,1,surprise,
12600,0,0,0,neutral,
12640,0,0,0,neutral,
12680,0,0,0,neutral,
12720,0,0,0,neutral,
12760,0,0,0,neutral,
12800,0,0,0,neutral,
12840,0,0,0,neutral,
12880,0,0,0,sad,
12920,0,0,0,surprise,
12960,0,0,0,neutral,
13000,0,0,0,sad,
13040,0,0,0,neutral,
13080,0,1,0,sad,
13120,0,1,0,neutral,
13160,0,1,0,neutral,
13200,0,0,1,sad,
13240,0,0,0,neutral,
13280,0,0,0,neutral,
13320,0,0,0,happy,
13360,0,0,0,fear,
