Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,audio,emotion_num,Cheating?
173803545.7333,0,0,0,neutral,0
173804579.0666,0,0,0,neutral,0
173805512.4,0,0,0,neutral,0
173806545.7333,0,0,0,neutral,0
173807579.0666,0,0,0,neutral,0
173808512.4,0,0,0,neutral,0
173809545.7333,0,0,0,neutral,0
173810579.0666,0,0,0,neutral,0
173811512.4,0,0,1,neutral,1
173812545.7333,0,0,0,neutral,0
173813479.0666,0,0,0,fear,0
173814512.4,0,0,0,neutral,0
173815545.7333,0,0,0,neutral,0
173816579.0666,0,0,0,fear,0
173817512.4,0,0,0,fear,0
173818545.7333,0,0,0,neutral,0
173819579.0666,0,0,0,neutral,0
173820512.4,0,0,0,fear,0
173821545.7333,0,0,0,happy,0
173822579.0666,0,0,0,neutral,0
173823512.4,0,0,1,fear,1
173824545.7333,0,0,0,fear,0
173825479.0666,0,0,0,happy,0
173826512.4,0,0,0,neutral,0
173827545.7333,0,0,0,fear,0
173828579.0666,0,0,1,happy,1
173829512.4,0,0,1,fear,1
173830545.7333,0,0,1,happy,1
173831579.0666,0,0,0,neutral,0
173832612.4,0,0,0,fear,0
173833545.7333,0,0,0,happy,0
173834479.0666,0,0,1,happy,1
173835512.4,0,0,0,happy,0
173836545.7333,0,0,0,neutral,0
173837479.0666,0,0,1,fear,1
173838512.4,0,0,0,neutral,0
173839545.7333,0,0,0,neutral,0
173840579.0666,0,0,0,neutral,0
173841512.4,0,0,1,neutral,1
173842545.7333,0,0,1,neutral,1
173843579.0666,0,0,0,happy,0
173844612.4,0,0,0,neutral,0
173845545.7333,0,0,0,neutral,0
173846579.0666,0,0,0,angry,0
173847512.4,0,0,0,neutral,0
173848545.7333,0,0,1,angry,1
173849579.0666,0,0,1,angry,1
173850512.4,0,0,1,happy,1
173851545.7333,0,0,1,happy,1
173852579.0666,0,0,0,neutral,0
173853512.4,0,0,0,neutral,0
173854545.7333,0,0,0,neutral,0
173855579.0666,0,0,0,happy,0
173856612.4,0,0,0,fear,0
173857545.7333,0,0,0,neutral,0
173858579.0666,0,0,0,neutral,0
173859512.4,0,0,1,angry,1
173860545.7333,0,0,0,neutral,0
173861579.0666,0,0,1,happy,1
173862512.4,0,0,1,happy,1
173863545.7333,0,0,1,happy,1
173864579.0666,0,0,0,neutral,0
173865512.4,0,0,1,neutral,1
173866545.7333,0,0,0,neutral,0
173867579.0666,0,0,1,happy,1
173868612.4,0,0,1,angry,1
173869545.7333,0,0,1,angry,1
173870579.0666,0,0,0,sad,0
173871512.4,0,0,1,neutral,1
173872545.7333,0,0,1,fear,1
173873579.0666,0,0,0,neutral,0
173874512.4,0,0,0,neutral,0
173875545.7333,0,0,1,fear,1
173876579.0666,0,0,0,neutral,0
173877612.4,0,0,1,neutral,1
173878545.7333,0,0,0,neutral,0
173879479.0666,0,0,1,neutral,1
173880512.4,0,0,0,happy,0
173881545.7333,0,0,0,neutral,0
173882579.0666,0,0,1,neutral,1
173883512.4,0,0,0,neutral,0
173884545.7333,0,0,0,neutral,0
173885579.0666,0,0,0,neutral,0
173886512.4,0,0,0,happy,0
173887545.7333,0,0,0,happy,0
173888579.0666,0,0,0,neutral,0
173889512.4,0,0,1,neutral,1
173890545.7333,0,0,1,neutral,1
173891579.0666,0,0,0,neutral,0
173892512.4,0,0,0,neutral,0
173893545.7333,0,0,0,neutral,0
173894579.0666,0,0,1,fear,1
173895512.4,0,0,1,neutral,1
173896545.7333,0,0,0,neutral,0
173897579.0666,0,0,0,neutral,0
173898612.4,0,0,0,neutral,0
173899545.7333,0,0,0,neutral,0
173900579.0666,0,0,1,happy,1
173901512.4,0,0,1,happy,1
173902545.7333,0,0,0,neutral,0
173903579.0666,0,0,0,neutral,0
173904512.4,0,0,0,neutral,0
173905545.7333,0,0,0,fear,0
173906579.0666,0,0,0,neutral,0
